Code	dVEL2
Chr1g15480	2.700163207
Chr1g15480	3.60234376
Chr1g15480	3.110006895
Chr4g08340	4.586675718
Chr4g08340	4.502862247
Chr4g08340	3.043049801
Chr4g09760	1.34643003
Chr4g09760	2.978061362
Chr4g09760	1.958214863
Chr1g17500	5.363060321
Chr1g17500	5.209466209
Chr1g17500	6.204460272
Chr1g11910 	0.588587001
Chr1g11910 	0.973818958
Chr2g09080	0.844982804
Chr2g09080	0.429608508
Chr2g09080	0.515863515
