treatments	Percent	rank
MOCK	0.983333333	1
MOCK	0.016666667	2
MOCK	0	3
MOCK	0	4
WT	0.172222222	1
WT	0.366666667	2
WT	0.361111111	3
WT	0.1	4
ΔLLM1	0.393333333	1
ΔLLM1	0.36	2
ΔLLM1	0.213333333	3
ΔLLM1	0.033333333	4
comp.LLM1	0.183333333	1
comp.LLM1	0.233333333	2
comp.LLM1	0.533333333	3
comp.LLM1	0.05	4
LLM1-GFP	0.333333333	1
LLM1-GFP	0.233333333	2
LLM1-GFP	0.333333333	3
LLM1-GFP	0.1	4
oeLLM1	0.327777778	1
oeLLM1	0.377777778	2
oeLLM1	0.244444444	3
oeLLM1	0.05	4
