,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
1,Treatment,WT,?AML1,0,-0.293,-0.561969374,-0.024030626,0.0315,*
2,Treatment,WT,AML1-C,0,0.07175,-0.197219374,0.340719374,0.857,ns
3,Treatment,WT,AML1-GFP,0,-0.26475,-0.533719374,0.004219374,0.0542,ns
4,Treatment,?AML1,AML1-C,0,0.36475,0.095780626,0.633719374,0.0079,**
5,Treatment,?AML1,AML1-GFP,0,0.02825,-0.240719374,0.297219374,0.989,ns
6,Treatment,AML1-C,AML1-GFP,0,-0.3365,-0.605469374,-0.067530626,0.0136,*
