,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
1,Treatment,WT,?AML1,0,-0.308432212,-0.630152155,0.01328773,0.0617,ns
2,Treatment,WT,AML1-C,0,0.100259012,-0.22146093,0.421978955,0.792,ns
3,Treatment,WT,AML1-GFP,0,-0.516312597,-0.83803254,-0.194592655,0.00224,**
4,Treatment,?AML1,AML1-C,0,0.408691224,0.086971282,0.730411167,0.0123,*
5,Treatment,?AML1,AML1-GFP,0,-0.207880385,-0.529600327,0.113839557,0.271,ns
6,Treatment,AML1-C,AML1-GFP,0,-0.616571609,-0.938291552,-0.294851667,0.000505,***
